"segment_id","amendment_number","amendment_roman","source_object_id","source_path","source_line","amendment_segment_ordinal","section_number","segment_class","source_text","extraction_status","interpretation_status"
"US-AM-SEG-000069","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","466","3","1","SECTION_LABEL","Section 1.","EXTRACTED","NONE"
"US-AM-SEG-000070","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","468","4","1","OPERATIVE_TEXT","After one year from the ratification of this article the manufacture, sale, or transportation of intoxicating liquors within, the importation thereof into, or the exportation thereof from the United States and all territory subject to the jurisdiction thereof for beverage purposes is hereby prohibited.","EXTRACTED","NONE"
"US-AM-SEG-000071","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","470","5","2","SECTION_LABEL","Section 2.","EXTRACTED","NONE"
"US-AM-SEG-000072","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","472","6","2","OPERATIVE_TEXT","The Congress and the several States shall have concurrent power to enforce this article by appropriate legislation.","EXTRACTED","NONE"
"US-AM-SEG-000073","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","474","7","3","SECTION_LABEL","Section 3.","EXTRACTED","NONE"
"US-AM-SEG-000074","18","XVIII","CONST.AMENDMENT.18","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","476","8","3","OPERATIVE_TEXT","This article shall be inoperative unless it shall have been ratified as an amendment to the Constitution by the legislatures of the several States, as provided in the Constitution, within seven years from the date of the submission hereof to the States by the Congress.","EXTRACTED","NONE"
"US-AM-SEG-000075","19","XIX","CONST.AMENDMENT.19","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","478","1","","HEADING","AMENDMENT XIX","EXTRACTED","NONE"
"US-AM-SEG-000076","19","XIX","CONST.AMENDMENT.19","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","480","2","","RATIFICATION_METADATA","Passed by Congress June 4, 1919. Ratified August 18, 1920.","EXTRACTED","NONE"
"US-AM-SEG-000077","19","XIX","CONST.AMENDMENT.19","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","482","3","","OPERATIVE_TEXT","The right of citizens of the United States to vote shall not be denied or abridged by the United States or by any State on account of sex.","EXTRACTED","NONE"
"US-AM-SEG-000078","19","XIX","CONST.AMENDMENT.19","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","484","4","","OPERATIVE_TEXT","Congress shall have power to enforce this article by appropriate legislation.","EXTRACTED","NONE"
"US-AM-SEG-000079","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","486","1","","HEADING","AMENDMENT XX","EXTRACTED","NONE"
"US-AM-SEG-000080","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","488","2","","RATIFICATION_METADATA","Passed by Congress March 2, 1932. Ratified January 23, 1933.","EXTRACTED","NONE"
"US-AM-SEG-000081","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","490","3","","EDITORIAL_NOTE","Note: Article I, section 4, of the Constitution was modified by section 2 of this amendment. In addition, a portion of the 12th amendment was superseded by section 3.","EXTRACTED","NONE"
"US-AM-SEG-000082","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","492","4","1","SECTION_LABEL","Section 1.","EXTRACTED","NONE"
"US-AM-SEG-000083","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","494","5","1","OPERATIVE_TEXT","The terms of the President and Vice President shall end at noon on the 20th day of January, and the terms of Senators and Representatives at noon on the 3d day of January, of the years in which such terms would have ended if this article had not been ratified; and the terms of their successors shall then begin.","EXTRACTED","NONE"
"US-AM-SEG-000084","20","XX","CONST.AMENDMENT.20","01-constitutional-source-map/authoritative-source/national-archives/amendments-11-27.html","496","6","2","SECTION_LABEL","Section 2.","EXTRACTED","NONE"
